condition,kind,block,endpoint,recorded_utc,power_source,battery_percent,load_1m,load_5m,load_15m,record
baseline/ssz,measured,4,after,2026-09-11T07:22:36.634880+00:00,AC Power,17,8.43,6.55,5.14,owner_state/results/collect-20260911T071527362410Z/025-measured-04-baseline-ssz-after.json
baseline/direct,measured,4,before,2026-09-11T07:22:36.704678+00:00,AC Power,17,8.43,6.55,5.14,owner_state/results/collect-20260911T071527362410Z/026-measured-04-baseline-direct-before.json
baseline/direct,measured,4,after,2026-09-11T07:22:46.824568+00:00,AC Power,17,8.25,6.58,5.17,owner_state/results/collect-20260911T071527362410Z/026-measured-04-baseline-direct-after.json
cse_dce/ssz,measured,4,before,2026-09-11T07:22:46.886501+00:00,AC Power,17,8.25,6.58,5.17,owner_state/results/collect-20260911T071527362410Z/027-measured-04-cse_dce-ssz-before.json
cse_dce/ssz,measured,4,after,2026-09-11T07:22:58.247457+00:00,AC Power,17,8.11,6.63,5.21,owner_state/results/collect-20260911T071527362410Z/027-measured-04-cse_dce-ssz-after.json
cse_dce/rlp,measured,4,before,2026-09-11T07:22:58.402654+00:00,AC Power,17,8.11,6.63,5.21,owner_state/results/collect-20260911T071527362410Z/028-measured-04-cse_dce-rlp-before.json
cse_dce/rlp,measured,4,after,2026-09-11T07:23:09.092610+00:00,AC Power,17,8.87,6.84,5.3,owner_state/results/collect-20260911T071527362410Z/028-measured-04-cse_dce-rlp-after.json
cse_dce/direct,measured,4,before,2026-09-11T07:23:09.162180+00:00,AC Power,17,8.87,6.84,5.3,owner_state/results/collect-20260911T071527362410Z/029-measured-04-cse_dce-direct-before.json
cse_dce/direct,measured,4,after,2026-09-11T07:23:19.637122+00:00,AC Power,17,10.45,7.24,5.46,owner_state/results/collect-20260911T071527362410Z/029-measured-04-cse_dce-direct-after.json
baseline/rlp,measured,4,before,2026-09-11T07:23:19.706351+00:00,AC Power,17,10.45,7.24,5.46,owner_state/results/collect-20260911T071527362410Z/030-measured-04-baseline-rlp-before.json
baseline/rlp,measured,4,after,2026-09-11T07:23:29.826559+00:00,AC Power,17,11.0,7.46,5.56,owner_state/results/collect-20260911T071527362410Z/030-measured-04-baseline-rlp-after.json
cse_dce/direct,measured,5,before,2026-09-11T07:23:29.890384+00:00,AC Power,17,11.0,7.46,5.56,owner_state/results/collect-20260911T071527362410Z/031-measured-05-cse_dce-direct-before.json
cse_dce/direct,measured,5,after,2026-09-11T07:23:39.181284+00:00,AC Power,17,12.26,7.85,5.73,owner_state/results/collect-20260911T071527362410Z/031-measured-05-cse_dce-direct-after.json
cse_dce/ssz,measured,5,before,2026-09-11T07:23:39.270552+00:00,AC Power,17,12.26,7.85,5.73,owner_state/results/collect-20260911T071527362410Z/032-measured-05-cse_dce-ssz-before.json
cse_dce/ssz,measured,5,after,2026-09-11T07:23:49.879274+00:00,AC Power,17,12.73,8.1,5.84,owner_state/results/collect-20260911T071527362410Z/032-measured-05-cse_dce-ssz-after.json
baseline/rlp,measured,5,before,2026-09-11T07:23:49.946613+00:00,AC Power,17,12.73,8.1,5.84,owner_state/results/collect-20260911T071527362410Z/033-measured-05-baseline-rlp-before.json
baseline/rlp,measured,5,after,2026-09-11T07:24:00.190582+00:00,AC Power,17,11.89,8.08,5.86,owner_state/results/collect-20260911T071527362410Z/033-measured-05-baseline-rlp-after.json
baseline/ssz,measured,5,before,2026-09-11T07:24:00.259897+00:00,AC Power,17,11.89,8.08,5.86,owner_state/results/collect-20260911T071527362410Z/034-measured-05-baseline-ssz-before.json
baseline/ssz,measured,5,after,2026-09-11T07:24:10.340018+00:00,AC Power,17,11.19,8.06,5.88,owner_state/results/collect-20260911T071527362410Z/034-measured-05-baseline-ssz-after.json
cse_dce/rlp,measured,5,before,2026-09-11T07:24:10.400476+00:00,AC Power,17,11.19,8.06,5.88,owner_state/results/collect-20260911T071527362410Z/035-measured-05-cse_dce-rlp-before.json
cse_dce/rlp,measured,5,after,2026-09-11T07:24:20.402536+00:00,AC Power,17,10.0,7.91,5.85,owner_state/results/collect-20260911T071527362410Z/035-measured-05-cse_dce-rlp-after.json
baseline/direct,measured,5,before,2026-09-11T07:24:20.461223+00:00,AC Power,17,10.0,7.91,5.85,owner_state/results/collect-20260911T071527362410Z/036-measured-05-baseline-direct-before.json
baseline/direct,measured,5,after,2026-09-11T07:24:29.274748+00:00,AC Power,17,10.04,7.99,5.9,owner_state/results/collect-20260911T071527362410Z/036-measured-05-baseline-direct-after.json
baseline/direct,measured,6,before,2026-09-11T07:24:29.336597+00:00,AC Power,17,10.04,7.99,5.9,owner_state/results/collect-20260911T071527362410Z/037-measured-06-baseline-direct-before.json
baseline/direct,measured,6,after,2026-09-11T07:24:38.153425+00:00,AC Power,18,9.54,7.96,5.91,owner_state/results/collect-20260911T071527362410Z/037-measured-06-baseline-direct-after.json
cse_dce/rlp,measured,6,before,2026-09-11T07:24:38.213821+00:00,AC Power,18,9.54,7.96,5.91,owner_state/results/collect-20260911T071527362410Z/038-measured-06-cse_dce-rlp-before.json
cse_dce/rlp,measured,6,after,2026-09-11T07:24:48.176908+00:00,AC Power,18,9.51,8.01,5.96,owner_state/results/collect-20260911T071527362410Z/038-measured-06-cse_dce-rlp-after.json
baseline/ssz,measured,6,before,2026-09-11T07:24:48.246212+00:00,AC Power,18,9.51,8.01,5.96,owner_state/results/collect-20260911T071527362410Z/039-measured-06-baseline-ssz-before.json
baseline/ssz,measured,6,after,2026-09-11T07:24:58.254809+00:00,AC Power,18,8.9,7.93,5.95,owner_state/results/collect-20260911T071527362410Z/039-measured-06-baseline-ssz-after.json
baseline/rlp,measured,6,before,2026-09-11T07:24:58.322598+00:00,AC Power,18,8.9,7.93,5.95,owner_state/results/collect-20260911T071527362410Z/040-measured-06-baseline-rlp-before.json
baseline/rlp,measured,6,after,2026-09-11T07:25:08.293018+00:00,AC Power,18,9.3,8.04,6.01,owner_state/results/collect-20260911T071527362410Z/040-measured-06-baseline-rlp-after.json
cse_dce/ssz,measured,6,before,2026-09-11T07:25:08.359809+00:00,AC Power,18,9.3,8.04,6.01,owner_state/results/collect-20260911T071527362410Z/041-measured-06-cse_dce-ssz-before.json
cse_dce/ssz,measured,6,after,2026-09-11T07:25:18.279497+00:00,AC Power,18,10.02,8.24,6.11,owner_state/results/collect-20260911T071527362410Z/041-measured-06-cse_dce-ssz-after.json
cse_dce/direct,measured,6,before,2026-09-11T07:25:18.346031+00:00,AC Power,18,10.02,8.24,6.11,owner_state/results/collect-20260911T071527362410Z/042-measured-06-cse_dce-direct-before.json
cse_dce/direct,measured,6,after,2026-09-11T07:25:27.079758+00:00,AC Power,18,10.18,8.3,6.14,owner_state/results/collect-20260911T071527362410Z/042-measured-06-cse_dce-direct-after.json
cse_dce/rlp,measured,7,before,2026-09-11T07:25:27.141494+00:00,AC Power,18,10.18,8.3,6.14,owner_state/results/collect-20260911T071527362410Z/043-measured-07-cse_dce-rlp-before.json
