comparison,numerator,denominator,pairs,ratio,ci95_low,ci95_high
optimization,cse_dce/direct,baseline/direct,8,1.0187899936851899,0.9914275141153339,1.0469076523050027
optimization,cse_dce/rlp,baseline/rlp,8,1.0129566905100122,0.9702140379918291,1.0575823649931957
optimization,cse_dce/ssz,baseline/ssz,8,1.033432585860835,0.9398949105590428,1.136279064309204
anchor,baseline/rlp,baseline/direct,8,1.0851291310526354,1.0169446850808463,1.1578852304689875
anchor,baseline/ssz,baseline/direct,8,1.1091948299226317,1.0380506395247715,1.1852149826624487
ssz_vs_rlp_secondary,baseline/ssz,baseline/rlp,8,1.0221777281443465,0.9528733974759482,1.0965226972250641
anchor,cse_dce/rlp,cse_dce/direct,8,1.0789159887515902,0.9950873874426356,1.1698065169687692
anchor,cse_dce/ssz,cse_dce/direct,8,1.125136768534673,1.0218440785490246,1.2388707577639608
ssz_vs_rlp_secondary,cse_dce/ssz,cse_dce/rlp,8,1.0428400174480355,0.9624626732085868,1.1299298479446909
