condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
cse_dce/ssz,cse_dce,ssz,measured,19,2,59,6.81673,294.643,1023.264,8.412312042,8482697,8476896,24,6592617,1889947,207621052,836384,44091129856,44110872328,0.737145958,0.69027525,1.728387792,2.056516875,0.428313708,1.079789375,0.096301042,5.29300775,5.389308792,737.145958,690.27525,0.004417,1728.387792,2056.516875,428.313708,0.016709,2.137,1079.789375,0.005083,6722.615667,0.0235,94.114333,0.001,owner_state/results/collect-20260915T094023087152Z/059-measured-19-cse_dce-ssz.log,66f4633d6456d99118aa91850fb25f4ca45cb7006ee4953d690cb22f7cd3229c
cse_dce/rlp,cse_dce,rlp,measured,19,3,60,6.921678,302.621,1009.954,8.531382125,8462089,8456073,24,6722637,1739319,207621052,835712,44144558080,44164234944,0.729297875,0.710249083,1.774095708,2.076489334,0.414114,1.114692333,0.102739667,5.379391375,5.482131042,729.297875,710.249083,0.004583,1774.095708,2076.489334,414.114,0.0165,2.074,1114.692333,0.008583,6821.064792,0.022793,100.613208,0.001,owner_state/results/collect-20260915T094023087152Z/060-measured-19-cse_dce-rlp.log,e9692ca98281077a6edc025bbe40dfd766c99ad757e4c7d871a87235ffdddada
cse_dce/rlp,cse_dce,rlp,measured,20,1,61,6.822154,295.932,1024.776,8.424376833,8462089,8456073,24,6722637,1739319,207621052,835712,44141477888,44161154752,0.739084208,0.697376,1.753445084,2.051411833,0.432763542,1.042284917,0.105788416,5.279905376,5.385693792,739.084208,697.376,0.003917,1753.445084,2051.411833,432.763542,0.019459,2.261459,1042.284917,0.0045,6718.678333,0.023414,103.475667,0.001,owner_state/results/collect-20260915T094023087152Z/061-measured-20-cse_dce-rlp.log,05d63c8183e4560f05b7e5da53bd68dc942155de7b3871ec6814f54ff3e66196
cse_dce/ssz,cse_dce,ssz,measured,20,2,62,7.001656,294.569,1022.53,8.600503792,8482697,8476896,24,6592617,1889947,207621052,836384,44090671104,44110413576,0.769291375,0.711994334,1.776528333,2.099610333,0.412694875,1.132601791,0.098934959,5.421435332,5.520370291,769.291375,711.994334,0.004375,1776.528333,2099.610333,412.694875,0.016083,2.317542,1132.601791,0.004792,6905.08725,0.023417,96.56875,0.001,owner_state/results/collect-20260915T094023087152Z/062-measured-20-cse_dce-ssz.log,38cc9783a5ab03ae5d811e7149146cdc2568b55b3b85391d127abd3bd6165603
cse_dce/direct,cse_dce,direct,measured,20,3,63,6.482739,149.056,528.031,7.350179541,7498510,7492965,23,5954835,1543542,182455228,834752,41415016448,41433298680,0.44570625,0.592856667,1.823301916,1.987273875,0.430616334,1.095175792,0.107808166,5.336367917,5.444176083,445.70625,592.856667,0.004542,1823.301916,1987.273875,430.616334,0.014209,2.20425,1095.175792,0.005834,6377.182042,0.022373,105.556958,0.001,owner_state/results/collect-20260915T094023087152Z/063-measured-20-cse_dce-direct.log,bad41e4950c6757bb309b291f76d7fdefba71587179a75fe5f14fe2b3106cd9a
cse_dce/ssz,cse_dce,ssz,measured,21,1,64,7.017248,297.8,1016.415,8.634155583,8482697,8476896,24,6592617,1889947,207621052,836384,44124831744,44144541424,0.736937042,0.714229958,1.823548584,2.08631975,0.415680917,1.133098584,0.107433165,5.458647835,5.566081,736.937042,714.229958,0.004041,1823.548584,2086.31975,415.680917,0.021917,2.351083,1133.098584,0.00475,6912.2255,0.028874,105.0225,0.001,owner_state/results/collect-20260915T094023087152Z/064-measured-21-cse_dce-ssz.log,8bc5a4c58b9460b02a81cf004e8bee46f4b849601e7a6f5290f9da6cd0d967ad
cse_dce/direct,cse_dce,direct,measured,21,2,65,6.483226,159.493,528.308,7.375676958,7498510,7492965,23,5954835,1543542,182455228,834752,41241886720,41260201720,0.446562625,0.598357333,1.843157417,1.967863458,0.401949333,1.118092708,0.107243126,5.331062916,5.438306042,446.562625,598.357333,0.004458,1843.157417,1967.863458,401.949333,0.015375,2.189583,1118.092708,0.006292,6378.219167,0.020585,105.006833,0.001,owner_state/results/collect-20260915T094023087152Z/065-measured-21-cse_dce-direct.log,4dd83d530f2fa37a190aa6e7a43a0d3b571c4619d2f05f2cf1ade79a41f14ac7
cse_dce/rlp,cse_dce,rlp,measured,21,3,66,7.147545,300.741,1032.822,8.779187708,8462089,8456073,24,6722637,1739319,207621052,835712,44139560960,44159254232,0.78066625,0.700255584,1.866427583,2.151612375,0.412547541,1.13338975,0.102645917,5.563977249,5.666623166,780.66625,700.255584,0.004875,1866.427583,2151.612375,412.547541,0.021,2.093833,1133.38975,0.007791,7047.049625,0.023043,100.495375,0.001,owner_state/results/collect-20260915T094023087152Z/066-measured-21-cse_dce-rlp.log,d959cff60c7d2a3c2908100000b8d2b49aab1ad36765240a07b8c862a458e117
cse_dce/direct,cse_dce,direct,measured,22,1,67,6.529061,151.848,516.019,7.395769709,7498510,7492965,23,5954835,1543542,182455228,834752,41414131712,41432413944,0.427949958,0.586147625,1.911481292,1.975346375,0.418996833,1.098438334,0.110700583,5.404262834,5.514963417,427.949958,586.147625,0.004334,1911.481292,1975.346375,418.996833,0.014209,2.491334,1098.438334,0.005125,6420.897833,0.022414,108.163167,0.001,owner_state/results/collect-20260915T094023087152Z/067-measured-22-cse_dce-direct.log,de81818955d4edec600b78fe2c5c78a289fd2f129ddff0dd52003e29b0431dc1
cse_dce/rlp,cse_dce,rlp,measured,22,2,68,7.100596,300.668,1023.574,8.723055958,8462089,8456073,24,6722637,1739319,207621052,835712,44138938368,44158631640,0.76413325,0.7149995,1.839448125,2.123461041,0.419577583,1.133743708,0.105232793,5.516230457,5.62146325,764.13325,714.9995,0.004042,1839.448125,2123.461041,419.577583,0.016834,2.474167,1133.743708,0.00625,6997.887458,0.022958,102.708542,0.001,owner_state/results/collect-20260915T094023087152Z/068-measured-22-cse_dce-rlp.log,f052a1f0048b660554502f3ab2c372068043bf89da9543d13f16456469e06618
